Duration (in seconds),Total time spent (seconds),Response ID,"Not counting today, how many times have you visited Zoo Miami in the last 6 months?","Including yourself, how many people are in your party? - Number of adults (18 and over)","Including yourself, how many people are in your party? - Number of children between 11 and 17 years of age","Including yourself, how many people are in your party? - Number of children between 5 and 10 years of age","Including yourself, how many people are in your party? - Number of children 4 or younger",Did you ever visit the Conservation Action Center before today?,"""Conservation"" means keeping nature in balance by protecting and using wildlife and natural resources ________ .",Sea turtles mistake plastic bags for ________ .,_______ are plants and animals that harm ecosystems where they are not naturally found.,You can help reduce the number of Colton mines by recycling ______ .,What is the primary way climate change affects polar bears?,"Along with the Burmese python, which snake species below is invasive to Florida?",How does Zoo Miami in particular help control invasive plants in the Pine Rocklands?,What is one way you could help reduce the impact of invasive species on the local area?,What is one way local bodies of water are polluted through things people do at home?,What is one of the first things Zoo Miami thinks about when deciding what animals to put on exhibit?,What do zoos with approval from the Association of Zoos and Aquariums do to support species conservation?,Instructions. Please review the image below of the Conservation Action Center. Think about where you spent your time today. Indicate how much time you spent in each area during today's visit. - Area 1: Why Conservation Matters,Instructions. Please review the image below of the Conservation Action Center. Think about where you spent your time today. Indicate how much time you spent in each area during today's visit. - Area 2: Florida Conservation in Your Backyard,Instructions. Please review the image below of the Conservation Action Center. Think about where you spent your time today. Indicate how much time you spent in each area during today's visit. - Area 3: How Do You Save a Species?,Instructions. Please review the image below of the Conservation Action Center. Think about where you spent your time today. Indicate how much time you spent in each area during today's visit. - Area 4: Shared Habitats,"On a scale of one to five, how much do you agree with the following statements? - Zoos care about animals.","On a scale of one to five, how much do you agree with the following statements? - Zoos are important for wildlife conservation.","On a scale of one to five, how much do you agree with the following statements? - We need to help protect animals.","On a scale of one to five, how much do you agree with the following statements? - I am part of the solutions to nature's problems.","On a scale of one to five, how much do you agree with the following statements? - I can do a lot to help protect nature.","On a scale of one to five, how much do you agree with the following statements? - We have the responsibility to protect nature for our families and future generations.","Is your primary home in South Florida? (Counties: Miami-Dade, Broward, Palm Beach, Collier, Monroe)","When thinking about South Florida, how much do you agree with the following statements? - I am interested in the plants and animals that live in South Florida.","When thinking about South Florida, how much do you agree with the following statements? - I like a mix of plants, animals, and landscapes in South Florida.","When thinking about South Florida, how much do you agree with the following statements? - I think the wildlife in South Florida is fascinating.","When thinking about South Florida, how much do you agree with the following statements? - I would go on a hike to go bird-watching, look at wildflowers, or participate in natural history activities.","When thinking about South Florida, how much do you agree with the following statements? - Most of my friends are in some way connected to my life here.","When thinking about South Florida, how much do you agree with the following statements? - I'm very connected to the people and culture of South Florida.","When thinking about South Florida, how much do you agree with the following statements? - I get more satisfaction out of living here than anywhere else.","When thinking about South Florida, how much do you agree with the following statements? - The lifestyle in South Florida generally reflects my beliefs and values.",What is your most recent level of education? - Selected Choice,What is your most recent level of education? - Other - Text,How would you describe your gender?,Is there at least one person in your party who is primarily a Spanish-speaker?,In what zip code do you reside?
316,420,R_5a,1,6,0,0,3,1,1,1,3,2,1,4,1,2,2,4,3,3,3,3,2,5,5,5,5,5,5,,,,,,,,,,4,,,,
835,1140,R_5b,2,3,1,0,0,2,1,1,3,2,3,4,1,1,3,4,4,2,2,2,2,5,5,5,5,5,5,2,,,,,,,,,5,,1,1,
1690,900,R_5c,1,1,00,0,0,1,1,1,3,2,2,1,1,2,1,4,2,1,,,,5,5,5,3,5,5,1,5,1,5,3,3,3,3,2,3,,2,1,305
2920,240,R_5d,2,1,4,0,0,1,1,1,1,1,3,4,4,1,2,1,2,2,1,2,3,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,4,,1,1,33183
948,1200,R_5e,1,4,0,1,0,1,1,1,2,4,4,4,1,2,4,1,3,3,3,3,3,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,3,,1,1,33015
308,540,R_5f,6,2,0,0,0,2,1,1,3,1,1,1,1,2,4,2,3,2,2,2,2,3,4,5,4,4,5,1,1,5,5,5,5,4,4,4,3,,1,2,33010
593,840,R_5g,5,3,0,0,0,1,3,1,3,1,1,1,2,2,4,2,3,1,2,2,2,5,5,5,5,5,5,2,,,,,,,,,4,,1,1,33139
1879,660,R_6a,5,4,0,0,0,2,1,1,3,2,1,1,1,2,3,4,3,2,1,1,2,5,5,5,1,5,5,2,,,,,,,,,4,,1,2,42223
1237,1500,R_8a,3,1,0,0,2,1,1,3,3,1,1,2,2,2,3,4,3,2,2,2,2,5,5,5,4,4,5,1,5,4,4,4,5,5,5,3,4,,1,2,33183
333,1260,R_8b,3,1,0,2,0,1,1,1,3,1,4,2,1,2,1,4,3,1,2,2,2,5,5,5,4,4,5,1,4,2,5,5,3,3,4,3,4,,2,1,33186
598,600,R_8c,5,1,1,1,1,2,1,3,3,2,1,1,2,2,1,4,3,2,2,2,2,5,5,5,5,5,5,1,5,4,5,4,5,5,5,5,4,,1,1,33027
145,1080,R_8d,3,1,0,2,0,1,1,1,3,1,1,2,2,2,3,4,3,3,3,3,3,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,4,,1,1,33033
363,120,R_8e,5,2,0,0,0,2,1,1,3,4,4,3,2,3,4,2,3,3,3,3,3,5,5,5,5,5,5,2,,,,,,,,,4,,1,2,73115
589,540,R_8f,2,4,0,0,0,2,1,1,1,2,1,2,2,1,1,2,2,3,3,2,3,4,4,5,3,4,5,1,5,5,4,4,4,3,5,4,4,,2,1,07029
808,600,R_8g,5,2,0,1,1,2,1,1,3,1,1,1,1,2,4,4,3,2,2,2,2,4,4,5,5,5,4,2,,,,,,,,,,,,,
551,1560,R_8h,3,2,0,0,4,2,1,4,4,2,4,1,2,1,4,2,4,,2,2,2,5,5,5,5,5,5,1,4,5,5,5,5,5,5,3,4,,1,1,33186
284,660,R_8i,3,2,0,0,0,2,1,3,3,2,1,2,2,2,3,4,3,1,2,3,1,5,5,5,4,4,5,1,5,5,5,5,5,5,5,5,4,,1,2,33193
1283,300,R_8J,2,2,0,0,0,1,2,1,3,3,1,1,2,2,1,3,3,2,2,2,2,5,5,5,5,4,5,1,4,4,5,4,4,5,4,5,4,,2,1,33012
893,540,R_8K,3,2,0,2,0,1,1,1,3,1,1,1,2,2,4,4,3,3,3,3,3,5,5,5,4,4,5,1,4,3,4,3,4,3,3,3,4,,2,1,33186
275,480,R_9a,2,1,2,0,0,2,1,1,3,2,1,2,2,2,2,4,3,2,2,2,2,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,4,,1,2,33442
247,900,R_9b,6,2,0,0,0,3,4,1,2,1,1,1,2,2,3,2,1,3,3,3,3,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,4,,1,1,33034
670,1020,R_9c,6,2,0,0,0,2,1,1,2,1,2,2,2,2,2,3,1,1,2,1,1,5,5,5,4,5,5,2,,,,,,,,,4,,2,1,33177
1252,1260,R_9d,5,1,1,1,0,2,1,1,3,1,1,3,2,2,1,4,3,2,2,2,2,5,5,5,5,5,5,2,,,,,,,,,4,,2,2,78641
673,300,R_9e,6,3,1,0,0,2,1,1,3,,1,1,1,1,1,4,3,2,2,2,2,3,3,5,4,4,5,1,2,2,3,3,3,3,3,3,3,,1,2,
808,480,R_9f,1,5,1,5,1,2,1,3,3,3,1,2,3,2,2,4,1,3,2,3,3,2,3,5,5,5,5,2,,,,,,,,,4,,2,1,56688
440,540,R_9g,1,4,3,1,0,1,1,1,3,1,1,3,2,2,1,4,3,1,1,2,3,3,4,5,5,5,5,1,5,5,5,4,4,5,5,3,3,,1,2,33183
2779,240,R_9h,6,3,3,1,0,2,1,1,3,1,2,,3,2,3,4,3,1,2,2,1,5,4,5,4,5,5,2,,,,,,,,,4,,2,2,35089
1291,420,R_9i,5,2,0,1,0,2,1,1,4,2,1,4,2,3,3,4,3,2,2,3,2,5,4,5,4,4,5,2,,,,,,,,,4,,2,1,
1060,660,R_9J,5,2,0,1,0,2,1,1,3,2,2,4,3,2,3,4,3,2,1,3,3,3,2,5,2,3,5,2,,,,,,,,,4,,1,2,02301
1432,1200,R_12a,6,2,1,0,0,1,1,1,3,1,1,1,1,2,1,4,3,,,,,5,5,5,4,4,5,1,5,5,5,3,4,4,4,4,4,,1,1,33428
579,600,R_12b,2,1,1,0,0,1,1,4,3,4,1,2,2,2,4,4,3,2,2,3,2,5,4,5,5,5,5,1,5,5,5,5,5,5,5,4,4,,2,2,33157
922,960,R_12c,5,2,0,2,0,2,1,1,3,1,2,1,2,2,1,4,3,2,2,2,2,5,5,5,5,5,5,2,,,,,,,,,4,,1,2,71107
609,960,R_12d,6,3,0,0,0,3,1,1,3,2,1,1,2,2,1,2,3,2,2,1,2,5,5,5,5,5,5,2,,,,,,,,,,,1,2,20111
1091,900,R_12e,5,3,0,0,0,2,2,1,4,3,1,1,1,3,3,2,3,,1,2,,3,4,5,5,5,5,1,1,1,4,3,3,1,1,1,4,,1,1,33139
3056,240,R_12f,5,4,0,0,0,2,2,3,4,3,1,1,1,2,3,4,3,2,2,2,2,4,5,5,5,5,4,1,5,5,5,5,5,5,5,5,4,,1,1,33156
386,300,R_12g,1,2,0,0,0,2,1,1,3,2,1,1,1,2,1,4,2,1,2,2,,5,5,5,5,4,5,1,5,5,5,4,2,3,5,5,4,,1,2,33068
492,660,R_12h,2,3,0,2,1,1,1,1,3,2,2,3,3,2,1,4,3,2,2,2,2,4,4,5,3,3,5,1,5,5,5,5,3,3,1,2,4,,1,2,33189
1291,1140,R_12i,6,4,0,2,0,2,1,2,3,4,2,2,2,3,2,4,3,2,2,3,2,5,5,5,5,5,5,2,,,,,,,,,4,,1,2,14043
